trial_index,pair,sublattice,element,Z,frac_on_site,stoich_count,zt,formula
43,51 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
44,51 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
44,51 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
45,51-50 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00Sn0.00)2(Te1.00)3
45,51-50 × 52,A,Sn,50,0.0,0.0,0.5404170989182809,(Sb1.00Sn0.00)2(Te1.00)3
45,51-50 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00Sn0.00)2(Te1.00)3
46,51 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
46,51 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
47,51 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
47,51 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
48,51 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
48,51 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
49,51-50 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00Sn0.00)2(Te1.00)3
49,51-50 × 52,A,Sn,50,0.0,0.0,0.5404170989182809,(Sb1.00Sn0.00)2(Te1.00)3
49,51-50 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00Sn0.00)2(Te1.00)3
50,51-50 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00Sn0.00)2(Te1.00)3
50,51-50 × 52,A,Sn,50,0.0,0.0,0.5404170989182809,(Sb1.00Sn0.00)2(Te1.00)3
50,51-50 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00Sn0.00)2(Te1.00)3
51,51 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
51,51 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
52,51-50 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00Sn0.00)2(Te1.00)3
52,51-50 × 52,A,Sn,50,0.0,0.0,0.5404170989182809,(Sb1.00Sn0.00)2(Te1.00)3
52,51-50 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00Sn0.00)2(Te1.00)3
53,51 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
53,51 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
54,51-50-49 × 52,A,Sb,51,0.6000000000000001,1.2,0.3432604911640645,(Sb0.60Sn0.30In0.10)2(Te1.00)3
54,51-50-49 × 52,A,Sn,50,0.30000000000000004,0.6,0.3432604911640645,(Sb0.60Sn0.30In0.10)2(Te1.00)3
54,51-50-49 × 52,A,In,49,0.10000000000000002,0.2,0.3432604911640645,(Sb0.60Sn0.30In0.10)2(Te1.00)3
54,51-50-49 × 52,X,Te,52,1.0,3.0,0.3432604911640645,(Sb0.60Sn0.30In0.10)2(Te1.00)3
55,51-50 × 52,A,Sb,51,0.92,1.84,0.40691004085075266,(Sb0.92Sn0.08)2(Te1.00)3
55,51-50 × 52,A,Sn,50,0.08,0.16,0.40691004085075266,(Sb0.92Sn0.08)2(Te1.00)3
55,51-50 × 52,X,Te,52,1.0,3.0,0.40691004085075266,(Sb0.92Sn0.08)2(Te1.00)3
56,51-50 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00Sn0.00)2(Te1.00)3
56,51-50 × 52,A,Sn,50,0.0,0.0,0.5404170989182809,(Sb1.00Sn0.00)2(Te1.00)3
56,51-50 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00Sn0.00)2(Te1.00)3
57,83-51 × 52,A,Bi,83,0.6,1.2,0.531966222487233,(Bi0.60Sb0.40)2(Te1.00)3
57,83-51 × 52,A,Sb,51,0.4,0.8,0.531966222487233,(Bi0.60Sb0.40)2(Te1.00)3
57,83-51 × 52,X,Te,52,1.0,3.0,0.531966222487233,(Bi0.60Sb0.40)2(Te1.00)3
58,51-50 × 52,A,Sb,51,0.7,1.4,0.34625455645103825,(Sb0.70Sn0.30)2(Te1.00)3
58,51-50 × 52,A,Sn,50,0.3,0.6,0.34625455645103825,(Sb0.70Sn0.30)2(Te1.00)3
58,51-50 × 52,X,Te,52,1.0,3.0,0.34625455645103825,(Sb0.70Sn0.30)2(Te1.00)3
59,83-51 × 52,A,Bi,83,0.02,0.04,0.7506979486318122,(Bi0.02Sb0.98)2(Te1.00)3
59,83-51 × 52,A,Sb,51,0.98,1.96,0.7506979486318122,(Bi0.02Sb0.98)2(Te1.00)3
59,83-51 × 52,X,Te,52,1.0,3.0,0.7506979486318122,(Bi0.02Sb0.98)2(Te1.00)3
60,83-51 × 52,A,Bi,83,0.0,0.0,0.5404170989182809,(Bi0.00Sb1.00)2(Te1.00)3
60,83-51 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Bi0.00Sb1.00)2(Te1.00)3
60,83-51 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Bi0.00Sb1.00)2(Te1.00)3
61,83-51 × 52,A,Bi,83,0.02,0.04,0.7506979486318122,(Bi0.02Sb0.98)2(Te1.00)3
61,83-51 × 52,A,Sb,51,0.98,1.96,0.7506979486318122,(Bi0.02Sb0.98)2(Te1.00)3
61,83-51 × 52,X,Te,52,1.0,3.0,0.7506979486318122,(Bi0.02Sb0.98)2(Te1.00)3
62,83-51 × 52,A,Bi,83,0.04,0.08,0.884716576192234,(Bi0.04Sb0.96)2(Te1.00)3
62,83-51 × 52,A,Sb,51,0.96,1.92,0.884716576192234,(Bi0.04Sb0.96)2(Te1.00)3
62,83-51 × 52,X,Te,52,1.0,3.0,0.884716576192234,(Bi0.04Sb0.96)2(Te1.00)3
63,83-51 × 52,A,Bi,83,0.12,0.24,0.9130358053610528,(Bi0.12Sb0.88)2(Te1.00)3
63,83-51 × 52,A,Sb,51,0.88,1.76,0.9130358053610528,(Bi0.12Sb0.88)2(Te1.00)3
63,83-51 × 52,X,Te,52,1.0,3.0,0.9130358053610528,(Bi0.12Sb0.88)2(Te1.00)3
64,83-51 × 52,A,Bi,83,0.02,0.04,0.7506979486318122,(Bi0.02Sb0.98)2(Te1.00)3
64,83-51 × 52,A,Sb,51,0.98,1.96,0.7506979486318122,(Bi0.02Sb0.98)2(Te1.00)3
64,83-51 × 52,X,Te,52,1.0,3.0,0.7506979486318122,(Bi0.02Sb0.98)2(Te1.00)3
65,83-51 × 52,A,Bi,83,0.04,0.08,0.884716576192234,(Bi0.04Sb0.96)2(Te1.00)3
65,83-51 × 52,A,Sb,51,0.96,1.92,0.884716576192234,(Bi0.04Sb0.96)2(Te1.00)3
65,83-51 × 52,X,Te,52,1.0,3.0,0.884716576192234,(Bi0.04Sb0.96)2(Te1.00)3
66,83-51 × 52,A,Bi,83,0.62,1.24,0.5110045681690862,(Bi0.62Sb0.38)2(Te1.00)3
66,83-51 × 52,A,Sb,51,0.38,0.76,0.5110045681690862,(Bi0.62Sb0.38)2(Te1.00)3
66,83-51 × 52,X,Te,52,1.0,3.0,0.5110045681690862,(Bi0.62Sb0.38)2(Te1.00)3
67,83-51 × 52,A,Bi,83,0.18,0.36,0.8946954100619335,(Bi0.18Sb0.82)2(Te1.00)3
67,83-51 × 52,A,Sb,51,0.82,1.64,0.8946954100619335,(Bi0.18Sb0.82)2(Te1.00)3
67,83-51 × 52,X,Te,52,1.0,3.0,0.8946954100619335,(Bi0.18Sb0.82)2(Te1.00)3
68,83-51 × 52,A,Bi,83,0.18,0.36,0.8946954100619335,(Bi0.18Sb0.82)2(Te1.00)3
68,83-51 × 52,A,Sb,51,0.82,1.64,0.8946954100619335,(Bi0.18Sb0.82)2(Te1.00)3
68,83-51 × 52,X,Te,52,1.0,3.0,0.8946954100619335,(Bi0.18Sb0.82)2(Te1.00)3
69,51 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
69,51 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
70,51-50-49 × 52,A,Sb,51,0.6000000000000001,1.2,0.3432604911640645,(Sb0.60Sn0.30In0.10)2(Te1.00)3
70,51-50-49 × 52,A,Sn,50,0.30000000000000004,0.6,0.3432604911640645,(Sb0.60Sn0.30In0.10)2(Te1.00)3
70,51-50-49 × 52,A,In,49,0.10000000000000002,0.2,0.3432604911640645,(Sb0.60Sn0.30In0.10)2(Te1.00)3
70,51-50-49 × 52,X,Te,52,1.0,3.0,0.3432604911640645,(Sb0.60Sn0.30In0.10)2(Te1.00)3
71,83-51 × 52,A,Bi,83,0.08,0.16,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
71,83-51 × 52,A,Sb,51,0.92,1.84,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
71,83-51 × 52,X,Te,52,1.0,3.0,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
72,83-51 × 52,A,Bi,83,0.02,0.04,0.7506979486318122,(Bi0.02Sb0.98)2(Te1.00)3
72,83-51 × 52,A,Sb,51,0.98,1.96,0.7506979486318122,(Bi0.02Sb0.98)2(Te1.00)3
72,83-51 × 52,X,Te,52,1.0,3.0,0.7506979486318122,(Bi0.02Sb0.98)2(Te1.00)3
73,83-51 × 52,A,Bi,83,0.38,0.76,0.8085698764942821,(Bi0.38Sb0.62)2(Te1.00)3
73,83-51 × 52,A,Sb,51,0.62,1.24,0.8085698764942821,(Bi0.38Sb0.62)2(Te1.00)3
73,83-51 × 52,X,Te,52,1.0,3.0,0.8085698764942821,(Bi0.38Sb0.62)2(Te1.00)3
74,83-51 × 52,A,Bi,83,0.08,0.16,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
74,83-51 × 52,A,Sb,51,0.92,1.84,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
74,83-51 × 52,X,Te,52,1.0,3.0,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
75,51 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
75,51 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
76,51 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
76,51 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
77,51 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
77,51 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
78,51 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
78,51 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Sb1.00)2(Te1.00)3
79,83-51 × 52,A,Bi,83,0.16,0.32,0.9017857632334383,(Bi0.16Sb0.84)2(Te1.00)3
79,83-51 × 52,A,Sb,51,0.84,1.68,0.9017857632334383,(Bi0.16Sb0.84)2(Te1.00)3
79,83-51 × 52,X,Te,52,1.0,3.0,0.9017857632334383,(Bi0.16Sb0.84)2(Te1.00)3
80,83-51 × 52,A,Bi,83,0.08,0.16,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
80,83-51 × 52,A,Sb,51,0.92,1.84,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
80,83-51 × 52,X,Te,52,1.0,3.0,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
81,83-51 × 52,A,Bi,83,0.08,0.16,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
81,83-51 × 52,A,Sb,51,0.92,1.84,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
81,83-51 × 52,X,Te,52,1.0,3.0,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
82,83-51 × 52,A,Bi,83,0.08,0.16,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
82,83-51 × 52,A,Sb,51,0.92,1.84,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
82,83-51 × 52,X,Te,52,1.0,3.0,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
83,83-51 × 52,A,Bi,83,0.08,0.16,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
83,83-51 × 52,A,Sb,51,0.92,1.84,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
83,83-51 × 52,X,Te,52,1.0,3.0,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
84,83-51 × 52,A,Bi,83,0.08,0.16,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
84,83-51 × 52,A,Sb,51,0.92,1.84,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
84,83-51 × 52,X,Te,52,1.0,3.0,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
85,83-51 × 52,A,Bi,83,0.08,0.16,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
85,83-51 × 52,A,Sb,51,0.92,1.84,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
85,83-51 × 52,X,Te,52,1.0,3.0,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
86,83-51 × 52,A,Bi,83,0.08,0.16,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
86,83-51 × 52,A,Sb,51,0.92,1.84,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
86,83-51 × 52,X,Te,52,1.0,3.0,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
87,83-51 × 52,A,Bi,83,0.08,0.16,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
87,83-51 × 52,A,Sb,51,0.92,1.84,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
87,83-51 × 52,X,Te,52,1.0,3.0,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
88,83-51 × 52,A,Bi,83,0.0,0.0,0.5404170989182809,(Bi0.00Sb1.00)2(Te1.00)3
88,83-51 × 52,A,Sb,51,1.0,2.0,0.5404170989182809,(Bi0.00Sb1.00)2(Te1.00)3
88,83-51 × 52,X,Te,52,1.0,3.0,0.5404170989182809,(Bi0.00Sb1.00)2(Te1.00)3
89,83-51 × 52,A,Bi,83,0.08,0.16,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
89,83-51 × 52,A,Sb,51,0.92,1.84,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
89,83-51 × 52,X,Te,52,1.0,3.0,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
90,83-51 × 52,A,Bi,83,0.08,0.16,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
90,83-51 × 52,A,Sb,51,0.92,1.84,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
90,83-51 × 52,X,Te,52,1.0,3.0,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
91,83-51 × 52,A,Bi,83,0.08,0.16,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
91,83-51 × 52,A,Sb,51,0.92,1.84,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
91,83-51 × 52,X,Te,52,1.0,3.0,0.9156094611614896,(Bi0.08Sb0.92)2(Te1.00)3
92,51-49 × 52,A,Sb,51,0.84,1.68,0.4978110861175468,(Sb0.84In0.16)2(Te1.00)3
