pair,cat_set,an_set,formula,score
51-50-82 × 34,51-50-82,34,(Sb0.56Sn0.30Pb0.14)2(Se1.00)3,0.051087502681297525
51-50-82 × 34,51-50-82,34,(Sb0.50Sn0.30Pb0.20)2(Se1.00)3,0.03504673804851183
51-50-82 × 34,51-50-82,34,(Sb0.48Sn0.30Pb0.22)2(Se1.00)3,0.0328479117314337
51-50-82 × 34,51-50-82,34,(Sb0.52Sn0.30Pb0.18)2(Se1.00)3,0.03856260421823704
51-50-82 × 34,51-50-82,34,(Sb0.68Sn0.16Pb0.16)2(Se1.00)3,0.04590979043432991
51-50-82 × 34,51-50-82,34,(Sb0.52Sn0.26Pb0.22)2(Se1.00)3,0.033659042901149516
51-50-82 × 34,51-50-82,34,(Sb0.56Sn0.14Pb0.30)2(Se1.00)3,0.026517448916503983
51-50-82 × 34,51-50-82,34,(Sb0.56Sn0.14Pb0.30)2(Se1.00)3,0.026517448916503983
51-50-82 × 34,51-50-82,34,(Sb0.50Sn0.20Pb0.30)2(Se1.00)3,0.02584431571409246
51-50-82 × 34,51-50-82,34,(Sb0.42Sn0.30Pb0.28)2(Se1.00)3,0.026640309458649702
51-50-82 × 34,51-50-82,34,(Sb0.54Sn0.16Pb0.30)2(Se1.00)3,0.026281665698590806
51-50-82 × 34,51-50-82,34,(Sb0.72Sn0.22Pb0.06)2(Se1.00)3,0.042408977825911964
51-50-82 × 34,51-50-82,34,(Sb0.54Sn0.30Pb0.16)2(Se1.00)3,0.044157664921169404
51-50-82 × 34,51-50-82,34,(Sb0.48Sn0.22Pb0.30)2(Se1.00)3,0.02564191030899432
51-50-82 × 34,51-50-82,34,(Sb0.64Sn0.14Pb0.22)2(Se1.00)3,0.037059093092237705
51-50-82 × 34,51-50-82,34,(Sb0.56Sn0.28Pb0.16)2(Se1.00)3,0.04538643807032949
51-50-82 × 34,51-50-82,34,(Sb0.40Sn0.30Pb0.30)2(Se1.00)3,0.024448611568931577
51-50-82 × 34,51-50-82,34,(Sb0.40Sn0.30Pb0.30)2(Se1.00)3,0.024448611568931577
51-50-82 × 34,51-50-82,34,(Sb0.80Sn0.12Pb0.08)2(Se1.00)3,0.03662866187547109
51-50-82 × 34,51-50-82,34,(Sb0.44Sn0.30Pb0.26)2(Se1.00)3,0.02872566798492704
51-50-82 × 34,51-50-82,34,(Sb0.48Sn0.30Pb0.22)2(Se1.00)3,0.0328479117314337
51-50-82 × 34,51-50-82,34,(Sb0.44Sn0.30Pb0.26)2(Se1.00)3,0.02872566798492704
51-50-82 × 34,51-50-82,34,(Sb0.76Sn0.02Pb0.22)2(Se1.00)3,0.03629240976370768
51-50-82 × 34,51-50-82,34,(Sb0.60Sn0.30Pb0.10)2(Se1.00)3,0.05609643892753596
51-50-82 × 34,51-50-82,34,(Sb0.40Sn0.30Pb0.30)2(Se1.00)3,0.024448611568931577
51-50-82 × 34,51-50-82,34,(Sb0.40Sn0.30Pb0.30)2(Se1.00)3,0.024448611568931577
51-50-82 × 34,51-50-82,34,(Sb0.64Sn0.06Pb0.30)2(Se1.00)3,0.027921162059463434
51-50-82 × 16,51-50-82,16,(Sb0.50Sn0.30Pb0.20)2(S1.00)3,-0.17062918952238987
51-50-82 × 16,51-50-82,16,(Sb0.66Sn0.30Pb0.04)2(S1.00)3,-0.253678387364948
51-50-82 × 16,51-50-82,16,(Sb0.54Sn0.30Pb0.16)2(S1.00)3,-0.19775071709895303
51-50-82 × 16,51-50-82,16,(Sb0.60Sn0.30Pb0.10)2(S1.00)3,-0.22823929444112007
51-50-82 × 16,51-50-82,16,(Sb0.54Sn0.30Pb0.16)2(S1.00)3,-0.19775071709895303
51-50-82 × 16,51-50-82,16,(Sb0.44Sn0.30Pb0.26)2(S1.00)3,-0.13025163842718496
51-50-82 × 16,51-50-82,16,(Sb0.62Sn0.08Pb0.30)2(S1.00)3,-0.21053278406200665
51-50-82 × 16,51-50-82,16,(Sb0.40Sn0.30Pb0.30)2(S1.00)3,-0.10459089334438687
51-50-82 × 16,51-50-82,16,(Sb0.48Sn0.22Pb0.30)2(S1.00)3,-0.14594877092929343
51-50-82 × 16,51-50-82,16,(Sb0.76Sn0.10Pb0.14)2(S1.00)3,-0.2589987100910411
51-50-82 × 16,51-50-82,16,(Sb0.40Sn0.30Pb0.30)2(S1.00)3,-0.10459089334438687
51-50-82 × 16,51-50-82,16,(Sb0.56Sn0.14Pb0.30)2(S1.00)3,-0.18477991453856207
51-50-82 × 16,51-50-82,16,(Sb0.40Sn0.30Pb0.30)2(S1.00)3,-0.10459089334438687
51-50-82 × 16,51-50-82,16,(Sb0.50Sn0.20Pb0.30)2(S1.00)3,-0.15623706241026786
51-50-82 × 16,51-50-82,16,(Sb0.54Sn0.30Pb0.16)2(S1.00)3,-0.19775071709895303
51-50-82 × 16,51-50-82,16,(Sb0.78Sn0.22Pb0.00)2(S1.00)3,-0.1397705210044623
51-50-82 × 16,51-50-82,16,(Sb0.64Sn0.06Pb0.30)2(S1.00)3,-0.21656662043490943
51-50-82 × 16,51-50-82,16,(Sb0.48Sn0.22Pb0.30)2(S1.00)3,-0.14594877092929343
51-50-82 × 16,51-50-82,16,(Sb0.40Sn0.30Pb0.30)2(S1.00)3,-0.10459089334438687
51-50-82 × 16,51-50-82,16,(Sb0.40Sn0.30Pb0.30)2(S1.00)3,-0.10459089334438687
51-50-82 × 16,51-50-82,16,(Sb0.46Sn0.28Pb0.26)2(S1.00)3,-0.14056559224665538
51-50-82 × 16,51-50-82,16,(Sb0.54Sn0.16Pb0.30)2(S1.00)3,-0.17524639771923395
51-50-82 × 16,51-50-82,16,(Sb0.70Sn0.28Pb0.02)2(S1.00)3,-0.26939338286738207
51-50-82 × 16,51-50-82,16,(Sb0.40Sn0.30Pb0.30)2(S1.00)3,-0.10459089334438687
51-50-82 × 16,51-50-82,16,(Sb0.50Sn0.30Pb0.20)2(S1.00)3,-0.17062918952238987
51-50-82 × 16,51-50-82,16,(Sb0.56Sn0.30Pb0.14)2(S1.00)3,-0.2102648390571223
51-50-82 × 16,51-50-82,16,(Sb0.46Sn0.24Pb0.30)2(S1.00)3,-0.13556193942304845
51-50-82 × 16,51-50-82,16,(Sb0.64Sn0.06Pb0.30)2(S1.00)3,-0.21656662043490943
51-50-82 × 16,51-50-82,16,(Sb0.70Sn0.02Pb0.28)2(S1.00)3,-0.23455688415487613
51-50-82 × 16,51-50-82,16,(Sb0.63Sn0.14Pb0.24)2(S1.00)3,-0.21840902538398793
51-50-82 × 16,51-50-82,16,(Sb0.46Sn0.30Pb0.24)2(S1.00)3,-0.1436191589361222
51-50-82 × 16,51-50-82,16,(Sb0.56Sn0.30Pb0.14)2(S1.00)3,-0.2102648390571223
51-50-82 × 16,51-50-82,16,(Sb0.46Sn0.24Pb0.30)2(S1.00)3,-0.13556193942304845
51-50-82 × 16,51-50-82,16,(Sb0.44Sn0.30Pb0.26)2(S1.00)3,-0.13025163842718496
51-50-82 × 16,51-50-82,16,(Sb0.40Sn0.30Pb0.30)2(S1.00)3,-0.10459089334438687
51-50-82 × 16,51-50-82,16,(Sb0.54Sn0.30Pb0.16)2(S1.00)3,-0.19775071709895303
51-50-82 × 16,51-50-82,16,(Sb0.56Sn0.14Pb0.30)2(S1.00)3,-0.18477991453856207
51-50-82 × 16,51-50-82,16,(Sb0.56Sn0.30Pb0.14)2(S1.00)3,-0.2102648390571223
51-50-82 × 16,51-50-82,16,(Sb0.44Sn0.26Pb0.30)2(S1.00)3,-0.12559363046668637
51-50-82 × 16,51-50-82,16,(Sb0.52Sn0.18Pb0.30)2(S1.00)3,-0.16575988658855606
51-50-82 × 16,51-50-82,16,(Sb0.56Sn0.30Pb0.14)2(S1.00)3,-0.2102648390571223
51-50-82 × 16,51-50-82,16,(Sb0.42Sn0.28Pb0.30)2(S1.00)3,-0.11520985999101369
51-50-82 × 16,51-50-82,16,(Sb0.48Sn0.22Pb0.30)2(S1.00)3,-0.14594877092929343
51-50-82 × 16,51-50-82,16,(Sb0.56Sn0.30Pb0.14)2(S1.00)3,-0.2102648390571223
51-50-82 × 16,51-50-82,16,(Sb0.40Sn0.30Pb0.30)2(S1.00)3,-0.10459089334438687
51-50-82 × 16,51-50-82,16,(Sb0.68Sn0.02Pb0.30)2(S1.00)3,-0.22762993969761763
51-50-82 × 16,51-50-82,16,(Sb0.40Sn0.30Pb0.30)2(S1.00)3,-0.10459089334438687
51-50-82 × 16,51-50-82,16,(Sb0.63Sn0.08Pb0.29)2(S1.00)3,-0.215403932000569
51-50-82 × 16,51-50-82,16,(Sb0.46Sn0.30Pb0.24)2(S1.00)3,-0.1436191589361222
51-50-82 × 16,51-50-82,16,(Sb0.48Sn0.30Pb0.22)2(S1.00)3,-0.1572515634193717
51-50-82 × 16,51-50-82,16,(Sb0.42Sn0.30Pb0.28)2(S1.00)3,-0.11719843963289767
51-50-82 × 16,51-50-82,16,(Sb0.54Sn0.16Pb0.30)2(S1.00)3,-0.17524639771923395
51-50-82 × 16,51-50-82,16,(Sb0.50Sn0.20Pb0.30)2(S1.00)3,-0.15623706241026786
51-50-82 × 16,51-50-82,16,(Sb0.40Sn0.30Pb0.30)2(S1.00)3,-0.10459089334438687
51-50-82 × 16,51-50-82,16,(Sb0.52Sn0.18Pb0.30)2(S1.00)3,-0.16575988658855606
51-50-82 × 16,51-50-82,16,(Sb0.64Sn0.30Pb0.06)2(S1.00)3,-0.24516218099374204
51-50-82 × 16,51-50-82,16,(Sb0.60Sn0.30Pb0.10)2(S1.00)3,-0.22823929444112007
51-50-82 × 16,51-50-82,16,(Sb0.54Sn0.16Pb0.30)2(S1.00)3,-0.17524639771923395
51-50-82 × 16,51-50-82,16,(Sb0.64Sn0.06Pb0.30)2(S1.00)3,-0.21656662043490943
51-50-82 × 16,51-50-82,16,(Sb0.66Sn0.04Pb0.30)2(S1.00)3,-0.22212415206438768
51-50-82 × 16,51-50-82,16,(Sb0.64Sn0.30Pb0.06)2(S1.00)3,-0.24516218099374204
